service_key,final_service_units
2025-02-04_25_23,1334.5180700833503
2025-01-07_41_36,2380.901748104494
2025-02-12_46_18,1633.7145639672503
2025-02-20_47_05,2851.6290902437495
2025-02-14_35_46,1885.9993391328337
2025-01-03_45_46,4117.82580140331
2025-01-17_47_03,2112.4202308721788
2025-02-23_03_47,2335.6474430851285
2025-01-20_09_46,5246.4791989679115
2025-01-13_46_44,2208.3012751940328
2025-02-13_28_45,1633.160594788637
2025-02-05_47_46,1725.708239497575
2025-01-18_45_09,3065.528938746911
2025-02-24_36_27,1309.8651575531442
2025-01-28_13_23,1721.7466077566003
2025-02-01_23_13,1754.5113905734925
2025-01-03_28_45,1607.0688856540485
2025-02-06_46_18,1694.1871178234874
2025-01-05_45_28,2063.24904647409
2025-01-31_46_26,1897.6199381266933
2025-01-18_46_15,1983.0862795373596
2025-02-18_28_47,1631.468332011124
2025-02-12_12_36,1566.2109192460791
2025-01-30_38_36,1258.0058648820486
2025-01-20_46_48,3383.2046910454824
2025-02-07_39_45,1503.51067720257
2025-02-20_46_26,1804.7483392998308
2025-01-15_02_19,1629.6962424586911
2025-02-06_42_45,1510.0421706281047
2025-01-02_48_45,2158.079542277955
2025-01-19_03_47,2275.9170694723825
2025-01-21_47_30,1635.0516739894395
2025-01-17_30_02,2037.0525771637635
2025-02-19_21_02,1293.2835272876046
2025-01-08_45_47,3252.4051447385946
2025-01-11_47_46,2323.1038278654123
2025-01-22_46_47,1946.563497575807
2025-01-22_18_46,1784.840044234911
2025-02-28_18_46,1861.3778332717575
2025-01-17_17_23,1381.7980882046365
2025-02-11_26_46,1544.827027165431
2025-02-02_02_40,2496.797603268845
2025-01-11_47_30,2173.4336138728872
2025-02-12_47_06,1676.0517051803608
2025-01-03_35_46,1838.6449513796815
2025-02-10_15_46,1803.4541625782804
2025-02-07_36_27,1567.1811402816347
2025-02-01_46_20,1643.018247664258
2025-01-12_46_20,1949.3950541322981
2025-02-21_21_02,1495.6628195599692
2025-02-18_47_06,1475.6796033900384
2025-02-13_45_05,2159.252436471105
2025-02-17_46_45,3945.2334217844373
2025-01-03_13_23,1699.2449259943924
2025-02-05_48_45,1635.9140090462963
2025-01-07_47_05,2410.901934734083
2025-02-05_02_21,1397.8108323603353
2025-01-07_44_46,1699.185309641159
2025-02-26_14_30,1548.7329725110567
2025-02-10_45_42,1520.364397534002
2025-02-02_46_44,2557.634610763593
2025-02-17_38_36,1420.3108373615219
2025-02-16_46_09,4583.049757639401
2025-02-21_32_19,2130.8861191511105
2025-02-15_47_43,2519.66911881933
2025-02-26_34_45,1602.4881556232551
2025-01-28_47_28,1639.3503660767578
2025-01-21_45_46,3563.9176407322407
2025-02-16_30_14,1547.4794085368037
2025-02-24_03_45,1924.8049745350945
2025-02-04_12_36,1626.9688067247687
2025-01-20_43_47,2340.278314626291
2025-02-04_48_45,1690.517286749911
2025-01-22_27_36,1549.7050203565097
2025-02-03_47_06,1377.9668461838587
2025-01-23_46_09,4889.731757067016
2025-02-14_03_45,1541.7446769880844
2025-02-15_36_12,1950.4124522343634
2025-02-03_41_36,2317.8834172312163
2025-01-12_13_23,2595.109779814791
2025-02-05_02_16,1408.048982604785
2025-02-07_05_45,1678.0883495803007
2025-02-17_36_11,1734.562700099451
2025-01-15_46_15,1549.8727425948953
2025-02-02_33_46,2595.269358935039
2025-02-07_47_02,2046.9637270111987
2025-02-04_48_46,3136.3557326800574
2025-01-06_47_02,1554.6207949700438
2025-01-01_07_36,1936.4405517670887
2025-01-20_36_41,2143.5682241338977
2025-02-15_03_47,1666.6667396191215
2025-01-22_03_47,1735.6932843890536
2025-01-13_36_37,540.806954529532
2025-02-18_32_19,1728.2072307977662
2025-01-23_02_19,1775.1144455242652
2025-01-15_47_46,1894.8678071876013
2025-02-26_05_45,1806.3944373031127
2025-01-18_45_34,1956.2040449349026
2025-01-21_21_02,1295.677430342795
2025-01-14_21_02,1235.458853958756
2025-02-04_46_47,1566.3770164829343
2025-02-22_41_36,2316.021613600289
2025-02-25_46_44,2122.3453224215073
2025-01-03_41_36,2514.003489934389
2025-01-13_07_36,1813.1479786996201
2025-01-25_47_08,1941.2654489815914
2025-02-23_47_08,1797.7805939741534
2025-02-07_47_08,1997.555214626626
2025-02-09_46_09,4586.816739458938
2025-01-25_47_06,1987.4074292679325
2025-01-28_46_33,1243.161475838612
2025-01-19_46_47,2121.898040774923
2025-02-18_19_02,1523.9324923538384
2025-02-14_46_45,3803.9340015403272
2025-01-13_15_46,1884.5288856977581
2025-02-01_48_46,3219.4094663448277
2025-02-19_47_28,1788.6182308646598
2025-01-10_09_45,2801.3430978083325
2025-02-11_46_26,1576.0615638558913
2025-01-18_02_14,1782.710288142678
2025-01-31_22_36,1491.383539332332
2025-01-07_45_46,3201.6622275613054
2025-01-02_46_48,4092.799368388281
2025-01-15_21_02,1237.398229886831
2025-02-28_02_14,1981.5315559879386
2025-01-11_47_03,2130.4035549263667
2025-02-28_02_21,1903.5301242479475
2025-02-01_34_45,1690.2903561638084
2025-01-07_09_45,2965.496161191532
2025-02-19_03_45,1572.8725810133164
2025-01-13_05_45,2491.0372633160664
2025-02-10_02_24,1373.1770956196904
2025-01-21_45_03,1504.4616703021588
2025-01-08_46_44,2233.385119894775
2025-02-20_03_47,1590.2666222263724
2025-02-16_34_45,2830.869753291819
2025-02-14_20_46,1564.139946618913
2025-02-02_45_34,1731.0012473056945
2025-02-13_47_46,1917.4369622244485
2025-01-14_45_03,1460.8356949726544
2025-01-23_09_46,3968.7961999028353
2025-02-14_02_24,1661.0867341424125
2025-02-10_02_47,1923.151122014016
2025-02-04_46_35,1730.486732008663
2025-02-24_01_02,1465.0340629376685
2025-02-17_17_23,1547.2047171326822
2025-02-15_09_46,4064.9171051582616
2025-02-16_23_13,1838.9999276352798
2025-01-28_37_36,541.7178599862996
2025-02-19_15_46,1496.751893345377
2025-01-05_39_45,2500.1123755954745
2025-01-01_02_31,2272.2526081254755
2025-02-04_47_05,2401.6616115972943
2025-01-22_45_05,2055.6409057890287
2025-02-16_19_30,2136.9678840144634
2025-02-11_46_47,1741.1309958578126
2025-01-16_28_47,1795.7563251206811
2025-01-25_19_30,1948.634302429032
2025-02-21_19_32,2492.686574459446
2025-01-26_46_47,2178.9339610794814
2025-01-05_30_14,1489.8133707942104
2025-01-30_26_46,1598.2453195061903
2025-02-13_45_47,3794.849687980526
2025-01-21_43_47,2124.458230719837
2025-02-12_47_02,1643.7304924748832
2025-01-21_47_45,3593.7390692121116
2025-01-11_45_44,1818.0331487869614
2025-01-17_30_14,2013.7601022003473
2025-01-02_46_33,1628.950024472866
2025-01-08_47_02,1606.5948646085149
2025-01-14_36_11,1624.9313166401464
2025-02-22_46_09,4483.743161719821
2025-02-05_36_27,1246.6286936285917
2025-01-17_01_02,1370.2764922264573
2025-02-27_17_23,1354.2320238650777
2025-02-26_45_03,1722.5630416460979
2025-02-27_26_46,1627.731767227105
2025-02-18_04_29,1351.8772472347734
2025-02-11_36_37,525.1844824219354
2025-01-06_12_36,1878.1529420356808
2025-01-20_01_02,1469.2339041599917
2025-02-16_46_48,4138.564577362412
2025-01-23_45_47,4009.997042261838
2025-01-27_02_01,1380.0934309039774
2025-02-12_08_47,1520.363976407323
2025-01-11_02_01,1521.2101163468164
2025-01-14_45_46,3447.6972350143333
2025-01-09_16_02,1325.1883065842708
2025-01-21_02_01,1323.0080027015028
2025-01-16_33_46,1586.0121617976172
2025-02-05_44_46,1569.0669178059677
2025-01-12_23_25,1715.6921017781046
2025-02-09_09_45,4493.1965663882
2025-01-02_13_23,1897.6093081487804
2025-01-03_46_18,1977.3303570268722
2025-02-14_36_27,1605.1373393601361
2025-01-09_46_35,2799.8135357451424
2025-01-08_25_23,1385.027179289484
2025-01-30_16_02,1288.0633859981888
2025-01-07_02_47,1684.4177830873475
2025-01-04_45_05,1806.7495672628836
2025-01-03_47_30,1951.7371020904693
2025-01-17_40_02,2209.515354461962
2025-02-23_36_27,1454.3486714621536
2025-02-02_02_01,1458.8755099735258
2025-02-10_48_46,3904.062588593219
2025-01-10_46_18,2537.031112848679
2025-02-26_16_02,1431.4804993114685
2025-01-19_46_15,1618.2754723911396
2025-02-24_35_46,2525.3982953136187
2025-02-19_45_28,2032.7599871889126
2025-02-05_02_47,1653.8259539924957
2025-01-31_08_47,1494.541125428142
2025-02-04_05_45,1692.4147237757566
2025-01-02_47_46,2356.327787198089
2025-02-17_30_14,1458.3498034628358
2025-01-12_28_45,2969.27186253902
2025-01-11_11_36,1847.2061647634264
2025-01-25_45_48,2421.8598273018433
2025-02-21_45_47,4433.0477371256875
2025-01-19_08_47,2470.381614490404
2025-02-16_28_45,3068.40984839995
2025-01-30_30_14,1535.9181852113475
2025-01-19_44_46,3739.9195982315823
2025-02-14_36_12,2028.0076589964128
2025-02-11_39_45,1445.7912631558993
2025-02-15_45_28,2695.3106314207057
2025-01-08_04_29,1339.707140369725
2025-01-10_45_39,2279.753716143805
2025-01-22_02_21,1501.227385975446
2025-02-07_36_11,2158.3504230232456
2025-02-09_20_46,2299.980940187077
2025-02-07_45_47,4216.901729971856
2025-01-12_47_03,1997.1509618528985
2025-02-23_02_14,1641.3508563157282
2025-01-15_33_46,1445.0909524094182
2025-02-25_02_47,1830.5655048372716
2025-01-08_06_47,1428.9656881861147
2025-01-17_45_48,2533.452261897738
2025-01-10_46_48,5185.626731796579
2025-02-12_23_25,1401.2153193248669
2025-02-03_36_22,1249.2958193865982
2025-01-20_13_23,2097.6863650921823
2025-02-19_02_24,1400.961069925207
2025-01-12_03_45,2199.575932795042
2025-01-04_46_15,1714.1223126404338
2025-02-09_46_26,1902.4327037976084
2025-02-20_46_48,4075.918788624169
2025-01-05_48_46,5151.396988285659
2025-02-08_05_45,1884.3138217551975
2025-02-21_37_36,679.9775901859692
2025-01-13_46_20,1504.102652376282
2025-01-02_31_02,1943.2075516857672
2025-02-04_19_32,1951.3003742694123
2025-01-31_46_35,3021.9702129597154
2025-02-14_43_47,2068.9687521434507
2025-02-28_45_34,2511.39559224964
2025-01-03_25_23,1539.1175790890643
2025-02-02_45_42,1910.5173990670378
2025-01-26_48_45,2705.72633453083
2025-02-26_31_02,1701.7875688953006
2025-02-13_21_02,1335.6071281625968
2025-01-24_21_02,1533.0610879732892
2025-02-17_39_45,2011.4289651566498
2025-01-12_32_19,2384.275629821259
2025-01-07_27_36,1439.173890549153
2025-02-14_02_01,1648.917634146187
2025-02-06_31_02,1626.3831986995838
2025-02-23_36_12,1891.143414545346
2025-02-25_23_25,1486.8164229503648
2025-02-05_46_20,1371.4788094865607
2025-01-30_36_27,1320.1822808360457
2025-02-27_27_36,1591.4436404068197
2025-01-15_36_27,1273.8116800959137
2025-02-22_38_36,1575.3745950903747
2025-02-26_25_23,1503.7530192254303
2025-02-10_01_02,1451.8138783426164
2025-01-09_47_05,3412.0020210196444
2025-02-10_47_06,1458.9519849956976
2025-01-26_25_23,1908.7821428800496
2025-01-15_46_26,1602.3745405723646
2025-02-09_11_36,2682.4211960116427
2025-01-16_04_29,1344.3131715009918
2025-01-07_36_27,1249.2945650715983
2025-02-04_02_24,1297.1233832462299
2025-02-03_45_44,1136.29598315791
2025-01-07_19_30,1445.3821250770236
2025-01-30_12_36,1600.4404500014527
2025-02-20_46_35,2642.8302168925693
2025-01-19_02_16,1683.4806543509358
2025-02-17_32_19,2004.148476609918
2025-01-08_46_47,1661.4853935077435
2025-01-31_41_36,2324.9624620174786
2025-02-02_46_15,1397.757803854239
2025-01-12_02_16,1717.8356214806176
2025-02-05_04_29,1244.9355174530358
2025-01-12_44_46,3584.585489734799
2025-01-17_03_45,1639.89894702206
2025-02-23_37_36,777.0631535756636
2025-01-21_25_23,1417.5126633397301
2025-01-09_15_46,1376.0406408895542
2025-01-01_47_43,2282.8598119471953
2025-01-14_36_12,1332.0224104267018
2025-02-13_08_47,1533.6852538871644
2025-01-12_30_02,2592.6759937493634
2025-02-02_31_02,2469.852115767626
2025-01-21_47_05,2526.33400100533
2025-01-09_48_46,3215.8326502225436
2025-01-03_36_07,1837.46417576022
2025-02-07_47_45,3686.9071458899807
2025-01-27_46_35,1872.430630333929
2025-02-22_26_46,1866.3787212551372
2025-01-23_19_32,2125.713841749278
2025-02-18_16_02,1437.0754169966635
2025-02-09_37_36,777.5287789590072
2025-01-24_28_47,1785.641218652952
2025-01-05_47_08,1727.252158429221
2025-02-02_19_32,2593.2134513110223
2025-01-28_45_48,1741.9359681256142
2025-01-30_45_44,1648.4879732683837
2025-02-12_09_45,2669.0597362402727
2025-01-24_20_46,1735.653374761138
2025-01-16_42_45,1771.3292688223753
2025-01-12_36_07,2214.6139318065584
2025-02-09_08_47,2495.7187292712674
2025-01-17_47_46,2345.0313894841634
2025-01-22_36_37,597.7807035317902
2025-01-07_47_43,2009.9899228316003
2025-02-05_14_30,1424.6854288329625
2025-01-20_36_11,1722.7036107737229
2025-02-16_41_36,2572.6634975192005
2025-01-22_02_31,2022.9366086680661
2025-01-23_48_45,1905.6897691854729
2025-01-23_02_14,1556.4881938994345
2025-01-21_09_45,3269.0789373508
2025-02-28_43_47,2314.5813464480416
2025-02-19_02_19,1687.3056962971496
2025-02-22_44_45,1594.1360371477542
2025-01-04_38_36,1432.8325328445649
2025-02-17_45_46,3619.8698391837875
2025-01-16_39_45,1561.768570288248
2025-01-04_02_47,1825.2213778676478
2025-01-14_02_30,1763.5076500693608
2025-02-03_09_45,3769.008974882112
2025-01-02_17_23,1577.1385888802026
2025-02-21_36_07,1993.21744902164
2025-01-02_02_16,1711.8942734627851
2025-01-07_40_02,2148.9407195752597
2025-02-06_46_48,4072.229400209757
2025-02-05_45_03,1508.478575226282
2025-02-10_02_14,1397.1447526260004
2025-02-16_14_30,2538.9469208853307
2025-01-16_19_30,1530.5534800974365
2025-01-28_03_47,1609.1479834529869
2025-02-12_19_02,1488.790601311432
2025-02-11_27_36,1474.2866720454838
2025-02-09_46_20,1801.7251225061864
2025-02-10_02_40,2173.965884392259
2025-02-13_06_47,1525.7539106062989
2025-01-23_42_45,1774.2735671877826
2025-02-24_47_46,1879.9785108773638
2025-01-18_28_45,1986.2446737419332
2025-02-04_01_02,1342.3882156430816
2025-02-10_18_46,1857.4816341084263
2025-02-04_09_46,3647.2677462848924
2025-02-20_05_45,1762.5842083172895
2025-01-11_02_16,1791.6965332999257
2025-01-14_47_03,1494.1015721273502
2025-01-25_47_43,2624.430380370721
2025-02-24_21_02,1413.3802285681325
2025-02-25_09_45,3098.3616216678943
2025-01-21_28_47,1766.7828333747677
2025-01-12_46_44,3086.3297211830395
2025-02-14_42_45,1758.5310237590418
2025-01-29_44_45,1500.007885814267
2025-02-26_05_47,2484.0299578431595
2025-01-19_26_46,2284.2303098157836
2025-01-20_06_47,2050.351158383885
2025-01-15_47_30,1604.7426582622445
2025-02-08_36_37,634.535668439881
2025-01-12_36_11,1946.6676897242994
2025-01-13_46_45,4039.1305393891816
2025-01-16_48_45,1876.0330351009197
2025-02-21_47_43,2828.834354339249
2025-01-14_04_29,1308.6829732061535
2025-02-24_47_03,1558.591064589557
2025-01-20_39_45,2081.36584899587
2025-02-01_45_39,1664.4397877621213
2025-02-15_46_18,2069.2489079217926
2025-01-26_47_30,1998.893543911513
2025-01-22_17_23,1351.4359515617462
2025-02-26_44_46,1814.6790492922798
2025-02-28_48_46,3370.900681803446
2025-01-10_02_14,1946.8430250827546
2025-02-16_47_06,1852.8396835612812
2025-01-18_46_18,2098.270512075177
2025-01-31_06_47,1486.7319101826188
2025-01-14_44_45,1370.6715645485806
2025-01-22_46_20,1714.5319910464511
2025-02-10_05_47,2981.288577924197
2025-02-24_30_14,1454.6415994472272
2025-01-07_36_07,1537.2750739859284
2025-02-14_13_23,1783.338501544063
2025-01-23_45_44,1775.4874284268062
2025-02-08_35_46,1894.3259300340217
2025-02-21_19_02,1819.4932680911331
2025-02-28_45_39,2390.175533111115
2025-01-12_15_46,2159.878934798743
2025-02-26_47_05,2734.4187628551463
2025-02-10_23_13,1494.2564056279953
2025-02-01_20_46,1556.6970013533353
2025-01-04_01_02,1367.1928290260205
2025-02-13_37_36,589.8358427701284
2025-01-23_45_42,2027.6121640666074
2025-01-24_02_19,2254.1352176487076
2025-01-11_46_20,2028.1563086050676
2025-02-18_05_47,2565.044016634115
2025-01-05_46_20,1623.0366954553056
2025-02-03_40_02,2355.77348231796
2025-01-07_02_31,1756.6844304468468
2025-01-14_27_36,1433.0949387753744
2025-02-02_40_02,2789.79265294243
2025-02-28_03_47,1696.4907934816858
2025-01-06_03_47,1632.5060646286372
2025-01-30_45_09,3449.5156039632334
2025-01-25_40_02,2712.196829732404
2025-01-15_23_13,1340.9984104624966
2025-01-19_48_46,5512.176823052347
2025-01-15_01_02,1270.0220674338725
2025-01-24_02_47,2215.1353383516844
2025-02-09_03_45,2385.716198964117
2025-02-07_19_30,1620.4813356647212
2025-02-12_41_36,1881.589616953008
2025-01-29_46_45,3317.837660938008
2025-02-17_47_08,1351.465612910663
2025-02-10_47_10,1169.503658167755
2025-01-31_36_22,1437.317865835666
2025-02-04_26_46,1451.0820440517234
2025-01-22_46_15,1726.9025054453714
2025-01-19_05_45,2898.207546585705
2025-02-24_45_03,1426.0050408953246
2025-02-27_45_39,2076.3765533368887
2025-01-06_02_40,2114.398398483055
2025-01-26_02_16,1731.1828639111234
2025-01-19_36_41,2433.380599946647
2025-02-16_02_40,2586.7501009764046
2025-01-01_45_05,2117.1096078041023
2025-01-08_41_36,2376.1123637874957
2025-01-14_47_45,3414.288060597082
2025-01-17_11_36,1686.0683276876644
2025-01-07_46_18,1423.0200460783915
2025-02-14_45_28,3381.389485187431
2025-01-22_39_45,1562.8826490813196
2025-02-12_46_45,3327.128815948672
2025-01-22_14_30,1523.0678686438732
2025-01-22_08_47,1772.3572988083486
2025-02-28_05_47,2634.4296279759456
2025-02-27_19_02,1579.6027271392352
2025-01-12_36_22,1643.1599462767788
2025-01-18_05_47,2890.348362136898
2025-01-03_30_02,1973.6110136409661
2025-02-21_45_34,2447.4673471116157
2025-01-03_05_45,1930.9452413001557
2025-01-05_36_22,1565.6354013904215
2025-02-21_02_19,2220.251382345631
2025-01-14_46_20,1397.874444769674
2025-01-05_13_23,2477.8953094822323
2025-01-22_35_46,2101.8977456135144
2025-02-10_38_36,1375.961517117886
2025-02-19_45_05,1896.2898823904359
2025-01-27_46_09,3342.4305805712875
2025-01-18_09_45,2959.5609988462215
2025-02-11_45_42,1587.372738076344
2025-01-07_46_44,1963.3266045344558
2025-01-16_02_21,1501.3228225394698
2025-01-22_46_18,1824.513569291776
2025-01-20_47_28,1664.585494594258
2025-01-07_45_03,1401.815587350995
2025-01-15_32_19,1687.4200015617982
2025-01-18_16_02,1534.485713782177
2025-01-13_19_30,1705.988852276481
2025-02-06_45_44,1488.7158998992652
2025-01-26_36_41,2471.2864429205015
2025-02-17_46_33,1169.5028687145073
2025-01-23_08_47,1705.4324216201148
2025-01-04_36_41,2552.3757834825974
2025-01-14_09_45,3099.1669554868367
2025-01-20_46_20,1480.00288249681
2025-01-05_34_45,2714.7703129034103
2025-01-21_02_30,1840.3433825184193
2025-02-07_02_30,2360.4654156091883
2025-01-09_05_45,1849.4756872532505
2025-01-27_46_45,3814.231964902829
2025-02-11_36_22,1204.639840151565
2025-01-30_44_45,1439.7395261546008
2025-01-10_19_32,2477.7365973483165
2025-02-23_23_25,1723.6518192270355
2025-02-25_25_23,1499.1572636129536
2025-02-25_47_46,1856.359769184388
2025-02-09_47_06,1938.8178293433384
2025-01-21_46_20,1570.6507921607333
2025-01-17_02_14,1907.8649064478868
2025-01-22_45_34,1813.6088889090677
2025-01-08_30_02,1595.364435800546
2025-02-18_46_18,1508.9419121483666
2025-01-29_46_47,1759.0952583740225
2025-01-09_02_40,2254.456530577767
2025-01-06_47_30,1580.4927483594852
2025-01-16_02_40,2294.597583781821
2025-01-04_46_26,1740.9730916629637
2025-01-19_46_44,2937.2810941360617
2025-02-06_46_47,1690.1511485597339
2025-01-26_21_02,1950.641862323688
2025-01-19_16_02,2134.1871743651936
2025-01-13_09_45,3949.3638512131333
2025-01-04_02_24,1547.1483334187026
2025-02-24_45_48,1556.9642302708824
2025-01-22_02_16,1514.6413955650098
2025-02-16_02_14,1602.9419469110453
2025-02-15_46_09,4455.553834645289
2025-02-17_02_19,1642.9046362182467
2025-01-13_46_33,1384.2558143065667
2025-01-13_27_36,1585.055343873442
2025-02-25_03_47,1611.3070904505273
2025-02-27_06_47,1568.673305745016
2025-02-14_09_46,3625.6913021783052
2025-02-15_36_41,2542.3599641139804
2025-01-24_36_12,2104.9916129382736
2025-02-11_20_46,1437.6231475638215
2025-01-18_47_43,2397.8824486859794
2025-01-18_48_45,2102.1808150041547
2025-01-05_36_27,1423.094642803663
2025-01-17_06_47,1865.5289361120892
2025-02-22_05_45,2106.5976855270324
2025-01-30_45_46,4067.3710468248273
2025-02-16_46_33,1668.2903504509513
2025-01-18_02_24,1632.5290563337526
2025-02-11_45_48,1741.662962225734
2025-01-01_45_03,1784.5843271040526
2025-01-28_36_11,1660.4901487548973
2025-02-18_19_30,1495.835137342367
2025-02-06_09_45,2345.3807091703966
2025-02-09_26_46,2348.2172322743963
2025-02-27_47_43,2427.8087601019924
2025-01-22_02_24,1431.4751798154034
2025-01-21_30_02,1631.9858917549527
2025-02-24_25_23,1519.3547982474583
2025-01-05_36_11,1847.7786191561659
2025-01-27_04_29,1367.927120004487
2025-02-27_46_18,1908.657155099142
2025-01-09_45_28,2320.1327728636347
2025-01-03_36_37,628.3659421706459
2025-01-23_45_48,2333.397413634633
2025-01-31_47_05,3474.8662723756875
2025-02-09_06_47,2336.057534811298
2025-01-25_47_46,2493.2612061139153
2025-02-02_02_14,1502.469689548246
2025-01-01_48_46,3875.878812486745
2025-02-04_11_36,1644.4737418244076
2025-01-21_36_27,1306.838364324081
2025-02-13_02_40,2325.4866397476826
2025-01-21_46_45,3495.2294862220515
2025-02-24_43_47,2257.6839252807913
2025-01-25_02_01,1685.4502379635207
2025-02-25_48_45,1858.8610954133178
2025-01-26_47_46,2550.5346809737584
2025-01-14_02_16,1345.7305332103065
2025-01-20_19_32,2239.3802275475505
2025-02-13_23_25,1465.2539748166491
2025-01-20_12_36,2049.1962877369483
2025-01-29_47_43,1959.5182720473251
2025-02-21_47_46,2304.667560180621
2025-02-03_37_36,553.6802558918854
2025-02-02_47_43,2294.3586288625775
2025-01-04_47_28,1963.80436008798
2025-02-18_36_37,546.0169897977163
2025-02-14_47_45,3782.277560274994
2025-01-08_02_21,1431.197966339742
2025-02-22_45_46,3856.6147712363563
2025-02-06_30_14,1513.0155042108058
2025-02-16_47_43,2477.598108569091
2025-01-16_23_25,1462.3800236990626
2025-01-27_44_46,2257.1694903481584
2025-01-07_05_47,2370.244986080096
2025-02-14_45_03,2156.7235332602236
2025-01-07_46_20,1321.2798243491284
2025-02-25_27_36,1561.5527277447338
2025-01-31_47_43,2588.2469367654385
2025-01-23_34_45,1760.2995837609058
2025-02-15_44_45,1540.9693623284863
2025-01-28_02_16,1395.4487984486925
2025-01-30_36_12,1526.6917380113464
2025-02-28_46_18,2232.174145145938
2025-01-21_02_14,1358.0817434132973
2025-01-15_02_01,1307.7177795825223
2025-02-14_08_47,1635.415123380769
2025-01-25_36_12,2225.2951967660365
